# chapter	snapshot	metric	expected	[tolerance]
#
# Recomputation is GATING: every figure here is recomputed from the raw rows
# committed in data/brackets/, so a registered number is reproducible rather
# than merely re-fetchable. Live drift is reported separately and never fails.
#
# THIS IS A SAMPLE, NOT A POPULATION. n is registered as a claim of its own so
# no chapter can quote a percentage without the count that produced it.
#
# Ranked all draft (lobby_type 7, game_mode 22), avg_rank_tier 41-55 = Archon 1
# to Legend 5. 240 matches drawn from six windows spread over five days, each
# behind a settle horizon so long games are present. Sampled 2026-08-04; every
# match played after 7.41e shipped, which checks/data.py now enforces.
#
27	archon-legend-7.41e	n	240
27	archon-legend-7.41e	median_duration_s	2393.5
27	archon-legend-7.41e	pct_over_40min	49.58
21	archon-legend-7.41e	pct_over_40min	49.58
27	archon-legend-7.41e	radiant_win_pct	52.08
27	archon-legend-7.41e	sample_span_hours	96.1

# The sample's SCHEMA, registered as a claim. Chapters 12, 30 and 32 each say
# this sample contains no item or per-hero data; that is an absence claim and
# CONTEXT.md 8 requires absence to be checked like presence. row_shapes = 1 means
# every row carries an identical field set, so the list above describes all 240.
12	archon-legend-7.41e	row_fields	avg_rank_tier,duration,game_mode,lobby_type,match_id,radiant_win,start_time
30	archon-legend-7.41e	row_fields	avg_rank_tier,duration,game_mode,lobby_type,match_id,radiant_win,start_time
32	archon-legend-7.41e	row_fields	avg_rank_tier,duration,game_mode,lobby_type,match_id,radiant_win,start_time
27	archon-legend-7.41e	row_shapes	1
